Data set,Best solution,Generation,Time
nrw1379,1280882.313111643,50,69.87772583961487
nrw1379,1278664.1935657505,50,68.78214502334595
nrw1379,1277625.919088147,50,70.00237011909485
nrw1379,1275461.5318099328,50,70.60536122322083
nrw1379,1265847.0231443257,50,69.68952202796936
nrw1379,1264131.433625626,50,69.34763693809509
nrw1379,1264060.469097141,50,70.23295307159424
nrw1379,1257451.4591759075,50,68.44801592826843
nrw1379,1251717.2151772708,50,70.28532290458679
nrw1379,1246008.8669555653,50,68.82022404670715
